Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,-7.10543e-15
0,4,7.10543e-15
0,5,0
0,6,0
0,7,0
0,8,0
0,9,-7.10543e-15
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,-3.55271e-15
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,-3.55271e-15
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,7.10543e-15
0,55,7.10543e-15
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,7.10543e-15
0,71,0
0,72,0
0,73,7.10543e-15
0,74,0
0,75,7.10543e-15
0,76,0
0,77,0
0,78,0
0,79,7.10543e-15
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,7.10543e-15
0,90,0
0,91,0
0,92,7.10543e-15
0,93,0
0,94,0
0,95,0
0,96,7.10543e-15
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,7.10543e-15
0,108,0
0,109,0
0,110,-3.55271e-15
0,111,0
0,112,0
0,113,0
0,114,-7.10543e-15
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,-3.55271e-15
0,122,0
0,123,0
0,124,0
0,125,0
0,126,-7.10543e-15
0,127,0
0,128,0
0,129,7.10543e-15
0,130,0
0,131,3.55271e-15
0,132,0
0,133,0
0,134,0
0,135,7.10543e-15
0,136,0
0,137,0
0,138,0
0,139,0
0,140,0
0,141,0
0,142,-7.10543e-15
0,143,0
0,144,7.10543e-15
0,145,-7.10543e-15
0,146,0
0,147,0
0,148,0
0,149,0
0,150,0
0,151,-7.10543e-15
0,152,0
0,153,0
0,154,0
0,155,0
0,156,0
0,157,0
0,158,0
0,159,0
0,160,0
0,161,0
0,162,0
0,163,-7.10543e-15
0,164,0
0,165,0
0,166,3.55271e-15
0,167,0
0,168,0
0,169,0
0,170,-7.10543e-15
0,171,0
0,172,0
0,173,0
0,174,0
0,175,0
0,176,-7.10543e-15
0,177,0
0,178,0
0,179,-7.10543e-15
0,180,0
0,181,0
0,182,0
0,183,0
0,184,-3.55271e-15
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,7.10543e-15
0,192,0
0,193,0
0,194,0
0,195,0
0,196,0
0,197,-3.55271e-15
0,198,0
0,199,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,7.68559
1,6,0.838392
1,7,1.29152
1,8,0
1,9,9.44919
1,10,0
1,11,0
1,12,2.12602
1,13,0
1,14,1.48792
1,15,0
1,16,1.97898
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,7.55425
1,24,0
1,25,0
1,26,0
1,27,3.22655
1,28,0
1,29,0
1,30,2.46528
1,31,0
1,32,0
1,33,4.58299
1,34,2.14206
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0.279404
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
1,50,2.24876
1,51,0
1,52,0
1,53,0
1,54,0.00202446
1,55,0
1,56,0
1,57,1.55851
1,58,0.116755
1,59,0
1,60,0
1,61,0.628068
1,62,0
1,63,8.12385
1,64,0
1,65,5.7302
1,66,0
1,67,0.783221
1,68,10.2406
1,69,0
1,70,0
1,71,0
1,72,0
1,73,3.13634
1,74,5.97272
1,75,0
1,76,4.00721
1,77,0
1,78,0
1,79,0
1,80,0
1,81,0
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0
1,87,0
1,88,0
1,89,0
1,90,0
1,91,2.30339
1,92,0.884345
1,93,0
1,94,0
1,95,1.08028
1,96,0
1,97,0
1,98,0
1,99,0
1,100,0
1,101,3.3002
1,102,0
1,103,0.339294
1,104,8.39231
1,105,0
1,106,0
1,107,0
1,108,0
1,109,0
1,110,6.51093
1,111,0.659865
1,112,0
1,113,0
1,114,1.7746
1,115,0
1,116,0
1,117,0
1,118,0
1,119,-6.5837e-05
1,120,0
1,121,0
1,122,0
1,123,0
1,124,0
1,125,10.2183
1,126,0
1,127,0
1,128,0.0036139
1,129,0
1,130,0
1,131,0
1,132,0.0162798
1,133,0
1,134,0
1,135,0
1,136,0
1,137,0.327919
1,138,6.59677
1,139,0
1,140,0
1,141,0
1,142,0
1,143,10.3087
1,144,0
1,145,0
1,146,1.89984
1,147,0
1,148,0
1,149,1.41927
1,150,0
1,151,0
1,152,4.96598
1,153,0
1,154,0
1,155,0
1,156,0
1,157,0
1,158,0
1,159,2.67021
1,160,0.987804
1,161,0
1,162,0
1,163,0
1,164,0
1,165,0
1,166,3.95557
1,167,0
1,168,0.138781
1,169,0
1,170,0
1,171,0
1,172,1.56674
1,173,0
1,174,0
1,175,0
1,176,1.05096
1,177,0
1,178,0
1,179,0
1,180,0
1,181,0
1,182,0
1,183,1.49628
1,184,0
1,185,0
1,186,0
1,187,0
1,188,0
1,189,1.00365
1,190,0
1,191,0
1,192,0
1,193,0
1,194,0
1,195,1.67894
1,196,0
1,197,2.89183
1,198,0
1,199,0
2,0,0
2,1,0
2,2,0
2,3,3.07121
2,4,6.65185
2,5,0
2,6,0
2,7,0
2,8,8.76557
2,9,0
2,10,3.95384
2,11,2.28199
2,12,0
2,13,4.8866
2,14,0
2,15,15.9267
2,16,0
2,17,5.91899
2,18,0.84653
2,19,19.0223
2,20,14.6547
2,21,0.418684
2,22,8.3618
2,23,0
2,24,7.72947
2,25,2.18829
2,26,2.90991
2,27,0
2,28,6.70421
2,29,19.0508
2,30,0
2,31,2.30152
2,32,1.07134
2,33,0
2,34,0
2,35,3.40017
2,36,4.70792
2,37,1.03271
2,38,4.96142
2,39,11.918
2,40,10.1911
2,41,0
2,42,0.44764
2,43,24.662
2,44,5.15514
2,45,3.8753
2,46,14.1017
2,47,25.3587
2,48,5.51419
2,49,8.6111
2,50,0
2,51,3.04992
2,52,0.856928
2,53,10.0709
2,54,0
2,55,4.02147
2,56,0.0602326
2,57,0
2,58,0
2,59,0.275631
2,60,0.461376
2,61,0
2,62,7.91615
2,63,0
2,64,0.00392844
2,65,0
2,66,0.0170561
2,67,0
2,68,0
2,69,1.64521
2,70,12.4904
2,71,0
2,72,1.80093
2,73,0
2,74,0
2,75,7.04873
2,76,0
2,77,7.84252
2,78,0.0738896
2,79,14.3372
2,80,7.71108
2,81,7.89568
2,82,17.6148
2,83,9.9473
2,84,0.897132
2,85,0.99784
2,86,18.4201
2,87,7.7666
2,88,5.25079
2,89,24.5811
2,90,0.445551
2,91,0
2,92,0
2,93,10.3443
2,94,1.86918
2,95,0
2,96,14.4149
2,97,6.848
2,98,16.9026
2,99,6.15979
2,100,5.4039
2,101,0
2,102,0.0344544
2,103,0
2,104,0
2,105,18.0231
2,106,18.406
2,107,19.2394
2,108,7.9028
2,109,2.06875
2,110,0
2,111,0
2,112,10.0744
2,113,0.19327
2,114,0
2,115,10.2579
2,116,0.0456945
