Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,-4.44089e-16
0,7,0
0,8,0
0,9,0
0,10,0
0,11,-8.88178e-16
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,4.44089e-16
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,4.44089e-16
0,30,0
0,31,0
0,32,8.88178e-16
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,8.88178e-16
0,55,0
0,56,4.44089e-16
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,-8.88178e-16
0,64,0
0,65,-8.88178e-16
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,-8.88178e-16
0,74,0
0,75,8.88178e-16
0,76,0
0,77,-8.88178e-16
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,-8.88178e-16
0,88,0
0,89,0
0,90,4.44089e-16
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,-8.88178e-16
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,1.76062
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,1.70278
1,15,1.37348
1,16,0.0516813
1,17,2.75604
1,18,0.17706
1,19,0
1,20,8.88178e-16
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,1.05559
1,29,0.378184
1,30,0.40121
1,31,0
1,32,0
1,33,0
1,34,0.991347
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0.841001
1,40,1.75499
1,41,0.176208
1,42,0
1,43,0
1,44,1.57389
1,45,0.218491
1,46,0.421602
1,47,0
1,48,0.171307
1,49,0
1,50,0
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,0.345609
1,57,0
1,58,0.0490616
1,59,0
1,60,0
1,61,0.541113
1,62,0
1,63,0
1,64,2.6305
1,65,0.156827
1,66,0.657601
1,67,0
1,68,1.73141
1,69,0.171805
1,70,0
1,71,0.439249
1,72,0
1,73,0
1,74,0
1,75,0.0358762
1,76,0
1,77,0
1,78,0
1,79,0
1,80,0
1,81,0
1,82,0
1,83,1.68009
1,84,0
1,85,0.0202066
1,86,0
1,87,0
1,88,0
1,89,1.56026
1,90,1.28542
1,91,0
1,92,0
1,93,0
1,94,0
1,95,0
1,96,0
1,97,0
1,98,0
1,99,0
2,0,0
2,1,0
2,2,0
2,3,0.373443
2,4,0.12056
2,5,0.11727
2,6,0
2,7,0.0658856
2,8,0.127389
2,9,0.271882
2,10,0.133895
2,11,1.24128
2,12,0.267945
2,13,0.242943
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0.222709
2,20,4.44089e-16
2,21,0.102449
2,22,0.0580065
2,23,1.05151
2,24,2.091
2,25,0.4201
2,26,0.0162619
2,27,0.127555
2,28,0
2,29,0
2,30,0
2,31,0.24787
2,32,0.913542
2,33,0.947543
2,34,0
2,35,0.891029
2,36,0.347874
2,37,1.63995
2,38,0.6214
2,39,0
2,40,0
2,41,0
2,42,0.868267
2,43,1.18366
2,44,0
2,45,0
2,46,0
2,47,1.67596
2,48,0
2,49,1.41577
2,50,0.186689
2,51,1.58401
2,52,0.553667
2,53,0.748771
2,54,0.024242
2,55,0.740688
2,56,0
2,57,0.512996
2,58,0
2,59,1.02756
2,60,0.384792
2,61,0
2,62,0.394578
2,63,0.607546
2,64,0
2,65,0
2,66,0
2,67,0.107807
2,68,0
2,69,0
2,70,0.682915
2,71,0
2,72,0.999096
2,73,0.878754
2,74,0.472844
2,75,0
2,76,0.223668
2,77,0.398581
2,78,0.269235
2,79,0.0028699
2,80,0.112036
2,81,1.35243
2,82,0.421501
2,83,0
2,84,0.134578
2,85,0
2,86,1.45953
2,87,0.548769
2,88,0.413833
2,89,0
2,90,0
2,91,1.3817
2,92,1.02843
2,93,0.0395874
2,94,3.25649
2,95,1.08449
2,96,0.00610228
2,97,0.0984834
2,98,2.13483
2,99,0.764152
3,0,0
3,1,0
3,2,0.373443
3,3,0
3,4,1.30602
3,5,0.624896
3,6,0
3,7,1.26346
3,8,1.35202
3,9,2.00682
3,10,0.520032
3,11,3.04459
3,12,0.154883
3,13,1.65501
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0.589324
3,20,0
3,21,0.226378
3,22,1.13876
3,23,3.41523
3,24,3.12996
3,25,0.0129343
3,26,1.55857
3,27,0.475307
3,28,0
3,29,0
3,30,0
3,31,0.423562
3,32,3.17538
3,33,1.98988
3,34,0
3,35,1.85614
3,36,0.864516
3,37,3.09693
3,38,0.772021
3,39,0
3,40,0
3,41,0
3,42,0.283905
3,43,2.51205
3,44,0
3,45,0
3,46,0
3,47,3.78167
3,48,0
3,49,3.36492
3,50,2.18733
3,51,1.85506
3,52,1.86724
3,53,1.24499
3,54,1.53523
3,55,3.47185
3,56,0
3,57,0.782133
3,58,0
3,59,2.28913
3,60,1.47968
3,61,0
3,62,0.976609
3,63,0.18724
3,64,0
3,65,0
3,66,0
3,67,0.367873
3,68,0
3,69,0
3,70,1.17112
3,71,0
3,72,2.86915
3,73,3.12191
3,74,1.29771
3,75,0
3,76,0.528997
3,77,1.45349
3,78,2.56179
3,79,0.469244
3,80,0.722851
3,81,1.64949
3,82,3.36652
3,83,0
3,84,0.889751
3,85,0
3,86,2.12201
3,87,2.954
3,88,1.0994
3,89,0
3,90,0
3,91,0.230885
3,92,1.21672
3,93,1.53941
3,94,2.41105
3,95,3.10026
3,96,0.497987
3,97,0.540552
3,98,1.52426
3,99,0.0145954
4,0,0
4,1,0
4,2,0.12056
4,3,1.30602
4,4,0
4,5,0.147725
4,6,0
4,7,1.77761
4,8,0.545808
4,9,1.16875
4,10,0.234665
4,11,2.11491
4,12,0.809689
4,13,0.434153
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,1.60092
4,20,0
4,21,0.378638
4,22,0.228562
4,23,2.02996
4,24,1.95218
4,25,1.22207
4,26,0.381137
4,27,0.469844
4,28,0
4,29,0
4,30,0
4,31,1.29119
4,32,1.34454
4,33,1.10606
4,34,0
4,35,1.79185
4,36,0.0536261
4,37,2.16654
4,38,0.522196
4,39,0
4,40,0
4,41,0
4,42,1.40952
4,43,1.91962
4,44,0
4,45,0
4,46,0
4,47,2.22885
4,48,0
4,49,2.21674
4,50,0.08438
4,51,1.55455
4,52,0.55333
4,53,1.16426
4,54,0.114163
4,55,1.16663
4,56,0
4,57,1.00094
4,58,0
4,59,1.25571
4,60,1.29743
4,61,0
4,62,0.180648
4,63,1.08545
4,64,0
4,65,0
4,66,0
4,67,0.337752
4,68,0
4,69,0
4,70,0.981065
4,71,0
4,72,1.20824
4,73,1.50887
4,74,2.03259
4,75,0
4,76,1.38589
4,77,0.464826
4,78,0.600411
4,79,0.071949
4,80,0.408637
4,81,1.28903
4,82,1.31058
4,83,0
4,84,0.902878
4,85,0
4,86,1.79056
4,87,0.63778
4,88,0.458727
4,89,0
4,90,0
4,91,0.80656
